Team,Kentucky,Miss Valley St / W. KY,Iowa St.,UCONN,Wichita St.,VCU,Indiana,New Mexico St.,UNLV,Colorado,Baylor,S. Dakota St.,Notre Dame,Xavier,Duke,Lehigh,Michigan State,LIU Brooklyn,Memphis,St. Louis,New Mexico,Long Beach St.,Louisville,Davidson,Murray St.,Colorado St.,Marquette,BYU / Iona,Florida,Virginia,Missouri,Norfolk St.,Syracuse,UNC - Asheville,Kansas St.,Southern Miss,Vanderbilt,Harvard,Wisconsin,Montana,Cincinatti,Texas,Florida St.,St. Bonaventure,Gonzaga,West Virginia,Ohio St.,Loyola (Md.),UNC,Lamar / Vermont,Crieghton,Alabama,Temple,Cal / South Florida,Michigan,Ohio,Georgetown,Belmont,San Diego St.,NC State,St. Mary's,Purdue,Kansas,Detroit
Year,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012
Seed,1,16,8,9,5,12,4,13,6,11,3,14,7,10,2,15,1,16,8,9,5,12,4,13,6,11,3,14,7,10,2,15,1,16,8,9,5,12,4,13,6,11,3,14,7,10,2,15,1,16,8,9,5,12,4,13,3,14,6,11,7,10,2,15
Position,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
